id,商品名称,销售价格,月销量,评论量,商品人气值
520672294884,RYO/吕 吕舒盈清润舒缓去屑洗发水 ,118,745,692,1350
576927404733,RYO/吕 129 ,140.8,2581,1614,6012
583080505353,海飞丝 恬雅清新去屑洗发露 ,59.9,3429,3452,4964
592981889210,清扬男士去屑活力运动薄荷洗发水500g*2+100g ,99.9,66537,19025,10036
543501944655,欧莱雅美发透明质酸水润去头屑控油洗发水露润发乳套装 无硅油 ,79.9,495,1441,3440
539146196494,欧莱雅美发多效修复洗发水润发乳护发素套装 改善干枯毛燥分叉 ,129,556,3750,7182
559042765613,海飞丝袋装洗发水男士小包装官方控油去屑止痒旗舰店洗头露膏正品 ,19.8,1664,5082,4854
561436086990,海飞丝洗发水露丝质柔滑型男女士去屑家庭装清爽洗头膏700ml包邮 ,62.9,310,1256,1378
522047046978,清扬男士去屑洗发活力运动薄荷500ml+凌仕男士沐浴露契合600ml ,79.9,37,1202,802
39066944280,CLEAR/清扬去屑控油洗发水控油平衡型洗发露男女通用1千克洗发乳 ,62.9,26,1026,1250
523274614254,CLEAR/清扬 女士去屑洗发露深度滋养型 ,58.8,317,1049,2142
558532290839,法国Rene Furterer馥绿德雅进口防脱发洗发水洗发露250ml*2瓶 ,179,2699,6245,34174
571882367735,资生堂ADENOGEN洗护套装 滋润型洗发水+护发素400mlx2瓶 强根固发 ,416,45,100,368
549432637517,CLEAR/清扬 男士去屑净透洗发露(海藻菁萃型) ,99.9,258,2531,2330
527763014011,L'OREAL欧莱雅男士炭爽活泉洗发水套装去头屑洗发露无硅油200ml*2 ,50,203,20722,14200
529046199924,L＇oreal/欧莱雅 男士去屑洗发露(维他强韧） ,65,74,649,486
36881195916,VS沙宣修护水养洗发露套装750ml*2水润改善毛躁干枯受损洗发水 ,139,975,5704,9236
541913465493,VS沙宣水润去屑洗发水400ml+200ml套装止痒洗发露去屑头皮屑男女 ,69,634,2590,6982
37251152574,L＇oreal/欧莱雅 沙龙洗护系列油脂平衡洗发水 ,118,69,953,5922
583275482911,【烫染枯】triptychoflune三谷氨基酸洗发水护发素套装深层修护女 ,158,6322,6080,17556
591765706530,Hair Recipe发之食无硅油无花果/蜂蜜/苹果姜/扁桃仁洗发水280ml ,88,52,148,444
44148541336,【屈臣氏】组合 资生堂惠润洗发露(绿野芳香)600毫升*2件 ,99,380,268,860
574972956137,HAIR RECIPE Hair Recipe发之食谱蜂蜜富养水润无硅油水果洗发水530ml+530g进口 ,149,3597,13723,45252
41194698335,【屈臣氏】施华蔻多效修护快捷旅行套装(洗发50ml+护发50ml)*2件 ,48,128,151,1126
564190884990,COCOVEL/蔻露薇 水润蛋白滋养双效洗发乳 ,99.8,893,6168,7834
